record_id,research_date,game_title,publisher,genre,platform,region,target_audience,monetization_model,price_usd,avg_user_rating,review_count,monthly_active_users,units_sold_millions,revenue_m_usd,social_buzz_score,trend_tag,competitor_strength,competitor_weakness,market_positioning,gap_opportunity,data_source,notes
MR-019,2025-04-27,Mystic Builder,MegaMode,Sports,PS5,Middle East,Hardcore,Freemium,19.99,5.0,56206,3424191,0.0,175.45,0,Cross-Platform,Popular streamer support,Low social buzz,Indie,Need better beginner onboarding,Competitor Review,Possible gap for new title
MR-020,2025-06-07,Dragon Legends,IndieSpark,Sports,PS5,Middle East,Kids,Subscription,0.0,9.2,12500,4970156,0.37,61.32,7,Co-op,Cross-platform play,High cost,Budget,Need stronger accessibility options,Store Rankings,Possible gap for new title
MR-021_DUP,2025-03-09,Neon League,IndieSpark,Puzzle,Switch,Apac,Hardcore,Premium,19.99,2.5,248357,6144685,0.88,344.7,61,Mobile-First,Low price,Slow updates,Budget,Market wants creative building tools,Competitor Review,Promising but needs validation
MR-022,2025-09-21,Galaxy Arena,DragonSoft,Puzzle,Xbox,Europe,Kids,Subscription,0.0,4.0,79178,5041617,9.56,18.77,85,Ai Npcs,Fast matchmaking,Low social buzz,Premium,Market wants creative building tools,Focus Group,Possible gap for new title
MR-023,2025-09-21,Arena Saga,ArcForge,Shooter,Switch,Global,Teens,Subscription,0.0,5.7,155433,7149687,11.22,203.03,73,Mobile-First,Easy to learn,Poor mobile controls,Budget,Market wants creative building tools,Store Rankings,Promising but needs validation
MR-024,2025-08-18,Island Clash,DragonSoft,Rpg,Nintendo Switch,Global,Adults,Premium,0.0,6.4,124924,4122307,0.26,182.16,85,Ai Npcs,Popular streamer support,Poor mobile controls,Mass Market,Gap in affordable premium games,Survey,Promising but needs validation
MR-025,2025-05-08,Rocket Tactics,MegaMode,Action,Nintendo Switch,Asia-Pacific,Teens,Premium,4.99,7.8,181042,1820165,3.35,342.17,13,Open World,High replay value,Poor mobile controls,Premium,Need offline mode,Survey,Promising but needs validation
MR-026,2025-10-10,Farm League,PixelPeak,Rpg,Nintendo Switch,Asia-Pacific,Hardcore,Premium,0.0,5.8,13588,7233656,9.87,33.61,7,Live Service,Low price,Steep learning curve,Premium,More demand for short mobile sessions,Survey,Strong opportunity if polished
MR-027,2025-07-15,Turbo League,FutureFun,Simulation,PC,Latin America,Teens,Premium,0.0,6.9,194129,6403302,2.57,70.93,10,Mobile-First,Cross-platform play,Buggy launch,Niche,More demand for short mobile sessions,Survey,Strong opportunity if polished
MR-028,2025-08-23,Farm Dash,DragonSoft,Simulation,Nintendo Switch,Apac,Teens,Freemium,59.99,3.0,39176,6939284,0.76,267.89,37,Co-op,Easy to learn,High cost,Aaa,Need stronger accessibility options,Forum Scan,Possible gap for new title
MR-029,2025-08-09,Shadow Run,DragonSoft,Puzzle,Xbox,Europe,Teens,Subscription,19.99,9.5,150904,179025,8.08,18.39,61,Retro,Strong story,Slow updates,Mid-Market,Demand for cross-platform saves,Social Listening,Mixed feedback from players
MR-030,2025-09-15,Hero League,PixelPeak,Strategy,Pc ,Europe,Teens,Premium,0.0,9.4,150904,2643361,1.44,389.25,1,Ai Npcs,Strong graphics,Weak tutorial,Mass Market,Market wants creative building tools,Store Rankings,Possible gap for new title
MR-031,2025-02-21,Cosmic Sim,FutureFun,Rpg,Mobile,Apac,Teens,Freemium,4.99,2.3,209655,1333572,0.21,101.35,15,Ai Npcs,Cross-platform play,Weak tutorial,Mass Market,Market wants creative building tools,Store Rankings,Mixed feedback from players
MR-032,2025-10-22,Rocket Life,ArcForge,Shooter,Nintendo Switch,Eu,Adults,Subscription,19.99,7.8,18420,6632052,4.11,0.0,39,Live Service,High replay value,Low social buzz,Mass Market,Need stronger accessibility options,Store Rankings,Potential competitor to study
MR-033,2025-01-05,Island Arena,ArcForge,Adventure,PS5,Eu,Competitive,Free to Play,59.99,3.9,11561,3972612,9.75,298.76,20,Ai Npcs,Strong graphics,Limited content,Aaa,Demand for cross-platform saves,Survey,Mixed feedback from players
MR-034,2025-04-21,Dungeon Tactics,MegaMode,Racing,PS5,Eu,Competitive,Free to Play,59.99,7.4,223405,5661920,4.59,323.51,20,Co-op,Cross-platform play,Limited content,Mass Market,Need better beginner onboarding,Survey,Possible gap for new title
MR-035,2025-10-05,Pixel League,MegaMode,Shooter,Mobile,North America,Competitive,Subscription,39.99,5.0,139362,5724356,2.08,391.92,31,Live Service,Fast matchmaking,Buggy launch,Mass Market,Need stronger accessibility options,Forum Scan,Possible gap for new title
MR-036,2025-01-19,Turbo Strike,NovaPlay,Battle Royale,Xbox,Middle East,Hardcore,Free to Play,0.0,8.6,100965,899672,6.88,446.71,85,User Generated Content,Frequent updates,Weak tutorial,Mass Market,Demand for cross-platform saves,Focus Group,Promising but needs validation
MR-037,2025-05-27,Pixel League,FutureFun,Sports,Mobile,Global,Competitive,Freemium,0.0,2.4,34568,2480565,5.02,353.99,47,Co-op,Fast matchmaking,Weak tutorial,Aaa,Market wants creative building tools,Social Listening,Promising but needs validation
MR-038,2025-09-11,Dragon Quest,PixelPeak,Action,PS5,Eu,Teens,Premium,29.99,6.2,176497,2204169,9.88,49.02,4,Retro,Large player community,Limited content,Budget,Need better beginner onboarding,Social Listening,Mixed feedback from players
MR-039,2025-08-20,Battle Wars,MegaMode,Action,Pc ,Latin America,Teens,Freemium,19.99,8.9,119039,7968983,11.35,334.1,54,Cross-Platform,Strong story,Buggy launch,Indie,Market wants creative building tools,Focus Group,Possible gap for new title
MR-040,2025-10-07,Pixel Realm,Orbit Games,Racing,Pc ,Latin America,Hardcore,Subscription,29.99,3.6,222426,774012,7.72,9.9,32,Esports,Easy to learn,High cost,Mass Market,Demand for cross-platform saves,Store Rankings,Strong opportunity if polished
MR-041,2025-08-15,Dungeon Legends,Orbit Games,Battle Royale,PS5,Eu,Hardcore,Free to Play,4.99,3.6,94031,2000914,0.24,57.3,15,Open World,High replay value,Poor mobile controls,Mass Market,Need better beginner onboarding,Survey,Mixed feedback from players
MR-042,2025-10-17,Dragon Clash,Orbit Games,Battle Royale,PS5,Europe,Competitive,Free to Play,0.0,2.9,116397,682719,1.82,281.06,92,Live Service,Frequent updates,Low social buzz,Mass Market,Gap in affordable premium games,Competitor Review,Possible gap for new title
MR-043,2025-12-12,Cosmic Realm,Orbit Games,Action,PS5,Apac,Adults,Premium,59.99,7.7,82046,3144864,8.26,41.32,56,Co-op,Low price,Slow updates,Aaa,Need better beginner onboarding,Social Listening,Strong opportunity if polished
MR-044,2025-10-20,Street Racer,Orbit Games,Action,PS5,Middle East,Casual,Free-To-Play,4.99,6.5,172279,7112456,10.15,343.24,55,Mobile-First,Popular streamer support,Slow updates,Indie,Need better beginner onboarding,Store Rankings,Potential competitor to study
MR-045,2025-10-03,Farm Realm,ArcForge,Sports,PS5,North America,Competitive,Subscription,4.99,3.2,8156,4455011,5.07,166.71,100,Ai Npcs,Low price,Steep learning curve,Indie,Opportunity for esports tournaments,Social Listening,Potential competitor to study
MR-046,2025-05-10,Castle Wars,NovaPlay,Shooter,PS5,Asia-Pacific,Family,Freemium,39.99,5.4,177981,4425243,0.59,80.5,28,Live Service,Frequent updates,Weak story,Indie,Opportunity for family-friendly co-op,Competitor Review,Potential competitor to study
MR-047,2025-12-12,Pixel Clash,BlueByte Studios,Racing,PS5,Asia-Pacific,Kids,Free to Play,0.0,10.8,151051,3397545,5.04,9.68,80,Co-op,Low price,Poor mobile controls,Indie,Gap in affordable premium games,Social Listening,Potential competitor to study
MR-048,2025-03-25,Galaxy Champions,BlueByte Studios,Sports,Xbox,Eu,Kids,Premium,0.0,3.0,237602,2950238,9.84,106.55,26,Co-op,Easy to learn,Slow updates,Indie,Demand for cross-platform saves,Competitor Review,Promising but needs validation
MR-049,2025-09-13,Hero Odyssey,Orbit Games,Sports,PC,Eu,Hardcore,Subscription,0.0,4.4,14845,627356,0.0,34.81,12,Co-op,Cross-platform play,Weak story,Premium,Need better beginner onboarding,Competitor Review,Promising but needs validation
MR-050,2025-11-21,Legend Run,IndieSpark,Rpg,Nintendo Switch,Eu,Teens,Subscription,19.99,-1.0,115311,5120418,4.51,184.12,77,Co-op,Fast matchmaking,Slow updates,Mid-Market,Need better beginner onboarding,Focus Group,Potential competitor to study
MR-051,2025-09-03,Neon League,DragonSoft,Strategy,Pc ,North America,Adults,Subscription,0.0,7.5,156106,715674,4.55,365.99,95,Esports,Frequent updates,Slow updates,Mid-Market,Gap in affordable premium games,Store Rankings,Potential competitor to study
MR-052,2025-03-27,Mystic Run,DragonSoft,Sports,Xbox Series X,Eu,Casual,Freemium,29.99,8.6,202200,6201194,0.5,344.91,49,User Generated Content,Frequent updates,Steep learning curve,Mass Market,Need offline mode,Store Rankings,Strong opportunity if polished
MR-053,2025-03-28,Island League,FutureFun,Sports,Pc ,Apac,Competitive,Premium,0.0,9.1,177934,3700998,3.42,237.5,26,Live Service,Large player community,Poor mobile controls,Mid-Market,Demand for cross-platform saves,Social Listening,Mixed feedback from players
MR-054,2025-01-11,Castle Builder,IndieSpark,Sports,Xbox Series X,Asia-Pacific,Casual,Subscription,59.99,2.8,214213,2937532,5.01,168.47,11,Ai Npcs,Fast matchmaking,Steep learning curve,Mid-Market,Demand for cross-platform saves,Survey,Promising but needs validation
MR-055,2025-02-27,Shadow Strike,IndieSpark,Strategy,PC,Apac,Hardcore,Premium,19.99,8.5,190760,3555518,3.49,21.77,80,Esports,Popular streamer support,Low social buzz,Budget,Demand for cross-platform saves,Social Listening,Potential competitor to study
MR-056,2025-06-09,Farm Clash,IndieSpark,Sports,PS5,Global,Hardcore,Premium,9.99,7.2,94650,4417906,9.45,9.44,6,Co-op,Easy to learn,Slow updates,Premium,Need better beginner onboarding,Social Listening,Strong opportunity if polished
MR-057,2025-09-13,Legend Legends,Orbit Games,Shooter,Mobile,North America,Hardcore,Subscription,0.0,5.7,165725,0,0.49,356.06,41,User Generated Content,Strong graphics,Slow updates,Mass Market,Opportunity for family-friendly co-op,Social Listening,Possible gap for new title
MR-058,2025-03-18,Turbo Realm,BlueByte Studios,Rpg,Pc ,Middle East,Teens,Freemium,0.0,9.0,49093,4178528,9.58,37.45,56,User Generated Content,Low price,Limited content,Mass Market,Need stronger accessibility options,Competitor Review,Promising but needs validation
MR-059,2025-01-05,Neon Life,IndieSpark,Adventure,PS5,Middle East,Casual,Free to Play,59.99,4.2,0,5352842,6.18,0.0,87,Esports,Cross-platform play,Slow updates,Indie,Need offline mode,Competitor Review,Promising but needs validation
MR-060,2025-04-20,Farm Builder,FutureFun,Racing,PS5,Asia-Pacific,Competitive,Freemium,19.99,4.9,73176,5352842,6.01,252.88,34,Esports,Cross-platform play,Buggy launch,Indie,Need stronger accessibility options,Focus Group,Promising but needs validation
MR-061,2025-08-01,Ocean Saga,FutureFun,Adventure,Xbox,Apac,Family,Free to Play,29.99,9.0,186716,5878864,9.53,54.88,18,Co-op,Large player community,Poor mobile controls,Aaa,Need offline mode,Forum Scan,Mixed feedback from players
MR-062,2025-07-17,Turbo Arena,NovaPlay,Adventure,PS5,Apac,Family,Subscription,4.99,3.1,19561,5710167,1.58,248.22,99,Esports,Fast matchmaking,Slow updates,Niche,Need stronger accessibility options,Forum Scan,Possible gap for new title
MR-063,2025-10-11,Galaxy Strike,NovaPlay,Action,PC,Europe,Casual,Premium,19.99,7.0,32932,5159197,6.06,423.74,85,Esports,Popular streamer support,Weak tutorial,Aaa,Need stronger accessibility options,Focus Group,Promising but needs validation
MR-064,2025-10-05,Hero Saga,IndieSpark,Rpg,Pc ,Europe,Family,Premium,29.99,7.0,64313,5751119,5.47,71.39,60,User Generated Content,High replay value,Weak story,Mid-Market,Need stronger accessibility options,Store Rankings,Mixed feedback from players
MR-065,2025-04-25,Battle Strike,Orbit Games,Shooter,Xbox,Middle East,Family,Premium,0.0,4.0,76197,7254131,3.02,72.12,74,Co-op,Low price,Weak story,Mid-Market,Gap in affordable premium games,Store Rankings,Strong opportunity if polished
MR-066,2025-06-02,Neon Rivals,Orbit Games,Strategy,Switch,Global,Teens,Premium,0.0,4.3,221067,3952568,0.15,60.53,47,Retro,High replay value,Steep learning curve,Mass Market,Gap in affordable premium games,Focus Group,Strong opportunity if polished
MR-067,2025-08-17,Battle Builder,Orbit Games,Strategy,Xbox Series X,Global,Adults,Free-To-Play,4.99,5.1,89009,3071928,2.43,60.53,92,Retro,Easy to learn,Poor mobile controls,Indie,Market wants creative building tools,Focus Group,Strong opportunity if polished
MR-068_DUP,2025-12-05,Mystic Clash,PixelPeak,Strategy,Xbox Series X,Asia-Pacific,Kids,Premium,9.99,2.4,244723,0,2.56,46.53,53,Esports,Strong story,Low social buzz,Niche,More demand for short mobile sessions,Store Rankings,Strong opportunity if polished
MR-069,2025-04-18,Battle Dash,FutureFun,Strategy,PS5,Global,Family,Freemium,0.0,5.5,108375,3447495,7.36,381.82,91,Live Service,Strong story,Weak story,Indie,More demand for short mobile sessions,Forum Scan,Mixed feedback from players
MR-070,2025-02-19,Rocket World,DragonSoft,Puzzle,Pc ,Asia-Pacific,Teens,Premium,29.99,6.4,78137,5918137,8.47,157.16,93,Mobile-First,Large player community,Slow updates,Indie,More demand for short mobile sessions,Focus Group,Mixed feedback from players
MR-071,2025-12-16,Rocket Dash,ArcForge,Action,Nintendo Switch,Asia-Pacific,Kids,Premium,19.99,4.2,71323,5169673,0.0,101.78,13,Ai Npcs,Cross-platform play,Weak tutorial,Mass Market,Need stronger accessibility options,Social Listening,Mixed feedback from players
MR-072,2025-03-24,Pixel Run,MegaMode,Action,PC,Middle East,Competitive,Subscription,0.0,6.5,189680,317880,2.14,79.35,51,Mobile-First,Cross-platform play,Weak story,Mass Market,Demand for cross-platform saves,Social Listening,Strong opportunity if polished
MR-073,2025-11-13,Cosmic Strike,Orbit Games,Adventure,PS5,Middle East,Competitive,Free-To-Play,19.99,8.3,191778,2163094,0.22,132.97,25,Esports,Cross-platform play,Slow updates,Niche,Need better beginner onboarding,Social Listening,Mixed feedback from players
MR-074,2025-12-25,Island Odyssey,BlueByte Studios,Action,Mobile,Global,Hardcore,Free-To-Play,29.99,9.4,189619,2199066,0.22,209.59,88,Esports,Cross-platform play,Limited content,Niche,Need better beginner onboarding,Social Listening,Mixed feedback from players
MR-075,2025-09-17,Ocean Sim,Orbit Games,Sports,Xbox Series X,Global,Hardcore,Premium,19.99,8.3,199836,6336214,9.46,237.82,73,Cross-Platform,Easy to learn,Steep learning curve,Mid-Market,Market wants creative building tools,Competitor Review,Promising but needs validation
MR-076,2025-12-03,Cosmic Builder,NovaPlay,Rpg,Xbox,North America,Teens,Freemium,19.99,5.3,146605,6773896,0.31,1.66,0,Esports,Fast matchmaking,Low social buzz,Indie,Opportunity for esports tournaments,Competitor Review,Mixed feedback from players
MR-077,2025-05-15,Dragon Run,Orbit Games,Puzzle,Nintendo Switch,North America,Hardcore,Free-To-Play,0.0,9.5,34982,2922305,11.91,57.57,1,Ai Npcs,Strong story,Limited content,Mass Market,Gap in affordable premium games,Focus Group,Promising but needs validation
MR-078,2025-04-18,Pixel Clash,NovaPlay,Sports,Nintendo Switch,Middle East,Hardcore,Free-To-Play,0.0,8.0,4221,569477,0.45,0.0,6,Ai Npcs,Strong story,Limited content,Indie,Gap in affordable premium games,Social Listening,Potential competitor to study
MR-079,2025-07-05,Castle World,ArcForge,Sports,Nintendo Switch,Eu,Hardcore,Free-To-Play,59.99,8.0,164220,4667813,11.67,302.2,41,Cross-Platform,Popular streamer support,Limited content,Indie,Need better beginner onboarding,Forum Scan,Mixed feedback from players
MR-080,2025-07-05,Turbo Saga,PixelPeak,Sports,Nintendo Switch,Apac,Hardcore,Freemium,19.99,3.1,53423,668290,10.17,326.15,35,Cross-Platform,Strong story,Poor mobile controls,Budget,Gap in affordable premium games,Store Rankings,Mixed feedback from players
MR-081,2025-08-15,Battle Sim,FutureFun,Sports,Pc ,Latin America,Adults,Subscription,19.99,7.5,104094,4636176,3.43,292.03,47,Retro,Strong graphics,Poor mobile controls,Niche,Demand for cross-platform saves,Survey,Possible gap for new title
MR-082,2025-12-21,Ocean Arena,FutureFun,Sports,Pc ,Asia-Pacific,Family,Premium,19.99,7.6,51550,3191326,2.99,424.58,98,Live Service,Cross-platform play,Limited content,Budget,Market wants creative building tools,Survey,Promising but needs validation
MR-083,2025-01-01,Pixel Quest,DragonSoft,Action,PC,Apac,Teens,Free to Play,59.99,3.2,17937,81684,0.0,300.14,62,Mobile-First,Strong graphics,Weak story,Aaa,Demand for cross-platform saves,Survey,Promising but needs validation
MR-084,2025-02-21,Castle Builder,NovaPlay,Rpg,PS5,Apac,Kids,Free to Play,19.99,3.6,213823,6673409,4.51,254.38,29,Ai Npcs,Strong graphics,High cost,Premium,Opportunity for family-friendly co-op,Competitor Review,Mixed feedback from players
MR-085,2025-02-21,Legend Arena,NovaPlay,Racing,PS5,Asia-Pacific,Kids,Premium,4.99,9.0,60351,7287292,6.82,415.89,36,Mobile-First,Fast matchmaking,High cost,Niche,Opportunity for family-friendly co-op,Competitor Review,Mixed feedback from players
MR-086,2025-10-13,Ocean Tactics,IndieSpark,Action,Mobile,Eu,Kids,Free-To-Play,59.99,7.9,180818,4205954,4.18,0.0,99,User Generated Content,High replay value,Low social buzz,Aaa,Demand for cross-platform saves,Focus Group,Strong opportunity if polished
MR-087,2025-08-12,Dragon Run,BlueByte Studios,Sports,PS5,Asia-Pacific,Kids,Freemium,59.99,4.4,19389,1298699,9.42,175.51,0,Live Service,High replay value,Weak story,Aaa,Opportunity for family-friendly co-op,Survey,Promising but needs validation
MR-088,2025-03-22,Neon Saga,ArcForge,Simulation,Mobile,Middle East,Kids,Free-To-Play,4.99,6.7,226538,2453193,9.36,251.92,32,Co-op,Fast matchmaking,Low social buzz,Mass Market,Opportunity for esports tournaments,Social Listening,Mixed feedback from players
MR-089,2025-07-27,Galaxy Racer,ArcForge,Sports,Mobile,Global,Hardcore,Freemium,29.99,9.4,130091,1645377,0.0,149.7,43,User Generated Content,Fast matchmaking,Low social buzz,Indie,More demand for short mobile sessions,Focus Group,Mixed feedback from players
MR-090,2025-08-23,Hero Arena,MegaMode,Sports,PS5,Global,Hardcore,Free-To-Play,19.99,4.6,206130,960360,2.44,81.21,4,Mobile-First,Frequent updates,Poor mobile controls,Premium,Opportunity for esports tournaments,Focus Group,Mixed feedback from players
MR-091,2025-02-04,Galaxy Odyssey,IndieSpark,Sports,PS5,North America,Kids,Free-To-Play,19.99,5.8,132925,7300016,6.55,161.98,69,User Generated Content,Low price,Buggy launch,Budget,Opportunity for family-friendly co-op,Social Listening,Potential competitor to study
MR-092,2025-02-04,Castle Champions,ArcForge,Adventure,Mobile,Global,Kids,Free-To-Play,19.99,6.6,116978,3889455,7.08,161.98,38,Cross-Platform,High replay value,Steep learning curve,Indie,Need offline mode,Survey,Mixed feedback from players
MR-093,2025-09-14,Cosmic Tactics,PixelPeak,Sports,PS5,Asia-Pacific,Family,Premium,4.99,4.4,12500,5440565,9.61,333.3,71,Retro,Low price,High cost,Niche,Need offline mode,Forum Scan,Mixed feedback from players
MR-094,2025-08-17,Dragon Quest,IndieSpark,Battle Royale,PS5,Asia-Pacific,Kids,Free to Play,19.99,3.7,212123,4848145,10.47,146.9,34,Co-op,Strong story,Slow updates,Niche,Need offline mode,Store Rankings,Mixed feedback from players
MR-095,2025-08-21,Street Life,ArcForge,Strategy,Xbox Series X,Eu,Teens,Free-To-Play,19.99,2.8,31016,986038,8.34,188.38,50,Esports,Strong story,Steep learning curve,Budget,Need stronger accessibility options,Survey,Mixed feedback from players
MR-096,2025-09-10,Mystic Dash,FutureFun,Battle Royale,Xbox,Apac,Competitive,Free to Play,59.99,9.5,129873,4129895,10.09,188.38,50,Co-op,Popular streamer support,Weak story,Indie,Market wants creative building tools,Survey,Promising but needs validation
MR-097,2025-02-25,Cosmic Saga,PixelPeak,Sports,Xbox,Global,Kids,Free-To-Play,19.99,9.7,217718,2081445,11.99,157.06,57,Co-op,Fast matchmaking,Weak tutorial,Niche,Need better beginner onboarding,Forum Scan,Possible gap for new title
MR-098,2025-01-09,Ocean Strike,ArcForge,Rpg,Xbox Series X,Latin America,Family,Premium,19.99,6.2,184683,4809454,10.3,305.78,97,User Generated Content,Frequent updates,Low social buzz,Niche,Demand for cross-platform saves,Forum Scan,Possible gap for new title
MR-099,2025-12-03,Dungeon Clash,FutureFun,Action,Pc ,Europe,Kids,Free-To-Play,59.99,5.6,230839,3384357,3.37,166.27,42,Retro,Frequent updates,Steep learning curve,Mass Market,Need stronger accessibility options,Forum Scan,Possible gap for new title
MR-100,2025-07-07,Legend Saga,ArcForge,Action,Mobile,Asia-Pacific,Teens,Premium,59.99,3.1,206769,5730660,0.6,166.27,57,User Generated Content,Popular streamer support,Buggy launch,Indie,Demand for cross-platform saves,Survey,Mixed feedback from players
